timestamp,x,y,z
12047183888,0,0,0
12047183895,0.00065899,-0.00154839,0.00255871
12047183901,0.00135492,-0.003194,0.00506245
12047183906,0.0018896,-0.00480457,0.00798375
12047183911,0.00235497,-0.00605097,0.010402
12047183915,0.00290268,-0.00661066,0.0116912
12047183920,0.0036159,-0.00774825,0.014269
12047183925,0.00417639,-0.00892203,0.0168282
12047183930,0.00466809,-0.0100102,0.0191567
12047183934,0.00478494,-0.0106939,0.0211325
12047183939,0.00471522,-0.0115036,0.0229135
12047183944,0.00435733,-0.0122271,0.0250554
12047183949,0.00426181,-0.0129396,0.0270216
12047183953,0.00442931,-0.0133137,0.0290593
12047183958,0.00415063,-0.0138842,0.030355
12047183963,0.00335639,-0.0142,0.0324591
12047183968,0.00219586,-0.0147716,0.0346995
12047183972,0.00130093,-0.0156738,0.037977
12047183977,0.000550656,-0.016683,0.0413812
12047183982,0.000290251,-0.017229,0.0431385
12047183987,-0.000807781,-0.0184917,0.0467363
12047183992,-0.0021215,-0.0193051,0.0497892
12047183997,-0.00359321,-0.0202011,0.0526667
12047184002,-0.00448711,-0.0212292,0.0551218
12047184007,-0.00559403,-0.0225588,0.0576321
12047184012,-0.00621512,-0.0238035,0.0601033
12047184017,-0.00618692,-0.025135,0.0627267
12047184021,-0.00645155,-0.02596,0.0648677
12047184026,-0.00728316,-0.0266108,0.0666718
12047184031,-0.00767432,-0.0271343,0.0681225
12047184036,-0.0081686,-0.0280073,0.0698438
12047184041,-0.0083211,-0.0282154,0.0707497
12047184046,-0.00863861,-0.0289365,0.072775
12047184050,-0.00926194,-0.0291983,0.0743847
12047184055,-0.009359,-0.0295396,0.0757595
12047184060,-0.00930092,-0.030263,0.0777562
12047184065,-0.00925139,-0.0312568,0.0801843
12047184070,-0.00897856,-0.0320258,0.0826852
12047184074,-0.00829524,-0.032927,0.0855823
12047184082,-0.00764885,-0.0340603,0.0877366
12047184087,-0.00722299,-0.0348885,0.090489
12047184091,-0.00673729,-0.0360812,0.0928038
12047184096,-0.00600876,-0.0374439,0.0956331
12047184101,-0.00509943,-0.0387048,0.0982921
12047184106,-0.00494655,-0.0392716,0.0994565
12047184110,-0.00408037,-0.0402536,0.101424
12047184115,-0.00367853,-0.0411232,0.103101
12047184120,-0.00352775,-0.0421604,0.105378
12047184124,-0.00218183,-0.0429487,0.10758
12047184129,-0.000611707,-0.0439976,0.10965
12047184134,0.00057822,-0.0446463,0.111712
12047184139,0.000977554,-0.0454815,0.113454
12047184144,0.00124092,-0.0456248,0.115589
12047184149,0.00150435,-0.0461176,0.116306
12047184153,0.0013925,-0.0460891,0.117614
12047184158,0.00179504,-0.0461023,0.119335
12047184163,0.00208518,-0.0463983,0.121186
12047184167,0.00159804,-0.04717,0.123327
12047184172,0.00104418,-0.0484961,0.125981
12047184177,0.000689706,-0.0497493,0.130019
12047184182,-0.000827949,-0.05176,0.133646
12047184186,-0.00138525,-0.0527084,0.135438
12047184191,-0.00242588,-0.0545116,0.138839
12047184196,-0.00356823,-0.0571961,0.142726
12047184200,-0.00421616,-0.0584003,0.145322
12047184205,-0.00470279,-0.0590535,0.146867
12047184209,-0.00529792,-0.0609388,0.14997
12047184214,-0.00541798,-0.0618888,0.152561
12047184219,-0.00612772,-0.06274,0.15478
12047184223,-0.00690556,-0.0630435,0.15642
12047184228,-0.00644132,-0.0637477,0.158348
12047184232,-0.00683307,-0.0645207,0.160287
12047184237,-0.00734043,-0.0650282,0.162163
12047184242,-0.00753376,-0.0653761,0.164255
12047184246,-0.00728737,-0.0662146,0.166331
12047184251,-0.00774163,-0.0671599,0.169284
12047184255,-0.00741608,-0.0674937,0.170982
12047184262,-0.00709908,-0.0688693,0.173931
12047184266,-0.00549158,-0.0700655,0.177581
12047184271,-0.00464851,-0.0716945,0.180539
12047184276,-0.00408571,-0.0732292,0.183286
12047184280,-0.0031358,-0.0746975,0.186149
12047184285,-0.00278797,-0.0763193,0.188423
12047184289,-0.00249533,-0.0777505,0.191052
12047184294,-0.0017213,-0.078687,0.193803
12047184299,-0.000582651,-0.0789536,0.196096
12047184303,0.000690831,-0.0797923,0.197626
12047184308,0.00130959,-0.0804197,0.199115
12047184313,0.00181632,-0.080877,0.200297
12047184317,0.00195369,-0.0814414,0.202375
