timestamp,x,y,z
11476420794,0,0,0
11476420800,0.00433772,-0.0043911,0.0127402
11476420806,0.00567031,-0.00704862,0.019213
11476420811,0.0068954,-0.00933726,0.0256179
11476420816,0.00798392,-0.0117695,0.0317203
11476420820,0.00849775,-0.0129937,0.034796
11476420825,0.0093106,-0.0151191,0.0401856
11476420830,0.0096733,-0.0159687,0.0432547
11476420834,0.010072,-0.016561,0.0492067
11476420839,0.00988881,-0.0163442,0.0550153
11476420843,0.00940406,-0.0156726,0.0615054
11476420847,0.00897799,-0.0148613,0.0649977
11476420852,0.00829211,-0.0141634,0.0722925
11476420856,0.00765459,-0.0145951,0.0789914
11476420860,0.00674934,-0.0146863,0.0861894
11476420865,0.00651767,-0.0162033,0.0933075
11476420869,0.00643679,-0.0176466,0.100043
11476420874,0.00748415,-0.0184009,0.106395
11476420878,0.00765389,-0.0186261,0.109648
11476420883,0.00877559,-0.0193266,0.117793
11476420887,0.00909952,-0.0194356,0.120389
11476420892,0.00950665,-0.019217,0.125237
11476420896,0.0101498,-0.0181811,0.13072
11476420901,0.0110657,-0.0176226,0.136598
11476420905,0.0123572,-0.017353,0.143382
11476420910,0.0137684,-0.0174831,0.150909
11476420914,0.0149485,-0.01753,0.157843
11476420919,0.0156688,-0.0177873,0.164736
11476420923,0.0164105,-0.0186906,0.17181
11476420928,0.0171869,-0.0202282,0.178448
11476420932,0.0172883,-0.0208392,0.181725
11476420936,0.0175545,-0.0219519,0.187774
11476420941,0.0182546,-0.0235103,0.19373
11476420945,0.0180903,-0.0251584,0.199806
11476420950,0.0169482,-0.0264178,0.205119
11476420954,0.0152066,-0.0265729,0.211226
11476420959,0.0137915,-0.0262341,0.217697
11476420963,0.012612,-0.0258395,0.223298
11476420973,0.011327,-0.025381,0.228811
11476420977,0.0100186,-0.0252599,0.234661
11476420982,0.00779439,-0.0246782,0.240304
11476420986,0.00724305,-0.0241538,0.243063
11476420991,0.00496166,-0.0242426,0.251634
11476420995,0.00435448,-0.0246776,0.254358
11476421000,0.00339155,-0.0260563,0.259709
11476421004,0.00266871,-0.0274081,0.264556
11476421008,0.00213821,-0.0278957,0.269471
11476421013,0.00241589,-0.0276438,0.27431
11476421017,0.0026457,-0.0278783,0.279702
11476421021,0.00302132,-0.0289233,0.285262
11476421026,0.00315201,-0.0293507,0.291713
11476421030,0.00358824,-0.0304619,0.298742
11476421035,0.00371907,-0.0311641,0.305263
